iter	MultiClass
597	2.318413218
598	2.318228686
599	2.31807533
600	2.317970061
601	2.317888491
602	2.31781082
603	2.317704063
604	2.317599822
605	2.317483219
606	2.317416006
607	2.317234748
608	2.317133696
609	2.317019783
610	2.316926358
611	2.316759529
612	2.31664325
613	2.316545124
614	2.316413621
615	2.316326371
616	2.316185629
617	2.316101333
618	2.316025807
619	2.315936948
620	2.315844224
621	2.315775958
622	2.315695034
623	2.315587587
624	2.315471738
625	2.315417801
626	2.315296429
627	2.315137224
628	2.315000014
629	2.314911826
630	2.314838225
631	2.314683402
632	2.314580616
633	2.314450387
634	2.314364605
635	2.314301445
636	2.314196575
637	2.314113409
638	2.314026703
639	2.313927334
640	2.31382957
641	2.313669531
642	2.313546553
643	2.313457524
644	2.313299184
645	2.313175713
646	2.313084429
647	2.313035203
648	2.312959654
649	2.312887513
650	2.312803154
651	2.312663467
652	2.312541209
653	2.3124016
654	2.312337968
655	2.312245825
656	2.312131327
657	2.311984149
658	2.311929105
659	2.311825526
660	2.311687093
661	2.31159956
662	2.311538325
663	2.311494091
664	2.311327563
665	2.311218293
666	2.31113018
667	2.311036788
668	2.310899267
669	2.310772422
670	2.310698431
671	2.310551043
672	2.310437308
673	2.310341327
674	2.310227806
675	2.31013656
676	2.309991431
677	2.30991782
678	2.309808849
679	2.309651606
680	2.309541932
681	2.309456835
682	2.309374364
683	2.309281318
684	2.309180056
685	2.309075324
686	2.308940603
687	2.308862215
688	2.308821423
689	2.308739853
690	2.308653433
691	2.308584714
692	2.308488772
693	2.308404007
694	2.308282002
695	2.308171662
696	2.30804019
697	2.307931789
698	2.307851285
699	2.307761851
700	2.307700959
701	2.307625423
702	2.30745112
703	2.307394718
704	2.307283506
705	2.307191961
706	2.307078899
707	2.306991451
708	2.306904
709	2.30680869
710	2.306746437
711	2.306667833
712	2.306539962
713	2.306467689
714	2.306354056
715	2.306272122
716	2.306104478
717	2.306030383
718	2.305927568
719	2.305771421
720	2.30568894
721	2.305546038
722	2.305472864
723	2.305363105
724	2.305244359
725	2.305147489
726	2.305002771
727	2.304910619
728	2.304801019
729	2.304733095
730	2.30464356
731	2.3045183
732	2.304394475
733	2.304308745
734	2.304230174
735	2.304164063
736	2.304084413
737	2.303931343
738	2.303859453
739	2.303779368
740	2.303668554
741	2.30359399
742	2.303472017
743	2.303386215
744	2.303304861
745	2.303222125
746	2.303117225
747	2.303058021
748	2.30295857
749	2.302917829
750	2.302815199
751	2.302717869
752	2.302584029
753	2.30247709
754	2.302380387
755	2.302295996
756	2.302193066
757	2.302036448
758	2.301948141
759	2.301846365
760	2.301710273
761	2.301590978
762	2.301494143
763	2.301353025
764	2.301232009
765	2.301141767
766	2.301006071
767	2.300916991
768	2.300817459
769	2.300744315
770	2.300680778
771	2.300576315
772	2.300481468
773	2.300389851
774	2.300312008
775	2.300233144
776	2.300064116
777	2.299988379
778	2.299932497
779	2.299867221
780	2.299749143
781	2.299661977
782	2.299595105
783	2.299510182
784	2.299448743
785	2.299351069
786	2.29926177
787	2.299087492
788	2.298999814
789	2.298934977
790	2.298843349
791	2.298768109
792	2.298689529
793	2.298633569
794	2.298527508
795	2.298467645
796	2.298383699
797	2.298274856
798	2.298208684
799	2.298133971
800	2.298040323
801	2.297962266
802	2.297840012
803	2.297726552
804	2.297597823
805	2.297478237
806	2.297405032
807	2.297292986
808	2.297208252
809	2.297140109
810	2.297040358
811	2.296974547
812	2.296903376
813	2.296816962
814	2.296723764
815	2.29665573
816	2.296598877
817	2.296534851
818	2.29645597
819	2.296350652
820	2.296263702
821	2.296209176
822	2.296122126
823	2.296028231
824	2.295979902
825	2.295850651
826	2.2958004
827	2.295729285
828	2.295654587
829	2.295588992
830	2.295450509
831	2.295363247
832	2.29528461
833	2.295182277
834	2.295106759
835	2.295032204
836	2.294938528
837	2.294865288
838	2.294750863
839	2.294670814
840	2.294614819
841	2.294549771
842	2.294468421
843	2.294376894
844	2.294299377
845	2.29420046
846	2.294110492
847	2.294055529
848	2.294004494
849	2.293843277
850	2.29377059
851	2.29373718
852	2.29357096
853	2.2934894
854	2.293390524
855	2.293278845
856	2.293165342
857	2.293123167
858	2.293001372
859	2.292944222
860	2.292863546
861	2.292741193
862	2.292652547
863	2.292578486
864	2.292481128
865	2.292406381
866	2.292319382
867	2.292255794
868	2.292188348
869	2.292120309
870	2.292023255
871	2.291949243
872	2.291858228
873	2.291813436
874	2.291700479
875	2.291625051
876	2.291559296
877	2.291479043
878	2.291408725
879	2.291309756
880	2.291241023
881	2.291181025
882	2.291105234
883	2.290967281
884	2.29088033
885	2.290802945
886	2.29074396
887	2.29065006
888	2.290581904
889	2.290508329
890	2.290429846
891	2.290352278
892	2.290283108
893	2.290223024
894	2.290167528
895	2.290082239
896	2.289972488
897	2.289877985
898	2.289806787
899	2.28970992
900	2.289645809
901	2.289572983
902	2.289507434
903	2.289441972
904	2.289351654
905	2.289269392
906	2.289195061
907	2.289123893
908	2.289027398
909	2.288948994
910	2.288880874
911	2.288834586
912	2.288761679
913	2.288645604
914	2.288586658
915	2.288473996
916	2.288371966
917	2.288310969
918	2.288202771
919	2.288087347
920	2.288020428
921	2.287943953
922	2.287840013
923	2.287758521
924	2.287686733
925	2.287606059
926	2.287495923
927	2.287447023
928	2.287361444
929	2.287292426
930	2.287225558
931	2.287161
932	2.287072893
933	2.287016733
934	2.286930718
935	2.286879251
936	2.286792406
937	2.286738761
938	2.286657872
939	2.28656087
940	2.286434142
941	2.286379053
942	2.286311466
943	2.286201462
944	2.286116435
945	2.286043986
946	2.285958775
947	2.285875259
948	2.28579829
949	2.285720565
950	2.285644929
951	2.285550244
952	2.285448263
953	2.285339239
954	2.285274527
955	2.285238241
956	2.285164293
957	2.28509
958	2.284949924
959	2.284871101
960	2.284793055
961	2.284742686
962	2.284677536
963	2.284568737
964	2.284485245
965	2.284411001
966	2.2843412
967	2.284247706
968	2.284147453
969	2.284052352
970	2.284003702
971	2.283937418
972	2.283880443
973	2.283841398
974	2.283762069
975	2.283690045
976	2.283632366
977	2.283545549
978	2.283468229
979	2.283362845
980	2.283279297
981	2.283235334
982	2.283174288
983	2.283099251
984	2.283033179
985	2.282973605
986	2.282899148
987	2.282814555
988	2.282747094
989	2.282683747
990	2.2825869
991	2.282479321
992	2.282422881
993	2.282342706
994	2.282285663
995	2.282218835
996	2.282174489
997	2.282098959
998	2.282027091
999	2.281946315
